"Campaign","Ad group","Keyword","Keyword match type","Criterion status"
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista sao jose dos campos","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista aquarius","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista esportivo sao jose dos campos","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista jardim aquarius","Exact",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista esportivo","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista em aquarius","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista em sao jose dos campos","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista particular sao jose dos campos","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricao esportiva","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricao esportiva para executivos","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","dieta para maratona","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista para triatleta","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","nutricionista para ciclismo","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","recomposicao corporal","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","bioimpedancia","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","SJC / Aquarius","plano alimentar personalizado","Phrase",""
"Search - Nutricao Esportiva - Taubate + SJC","","curso nutricao","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","faculdade nutricao","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","pos graduacao nutricao","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","tcc nutricao","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","estagio nutricao","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","emprego nutricionista","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","vaga nutricionista","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","trabalho nutricionista","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","salario nutricionista","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricionista gratis","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricionista gratuito","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","app dieta","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","aplicativo dieta","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","dieta pdf","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","download dieta","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","suplemento","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","whey","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","creatina","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","loja suplemento","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","comprar whey","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","emagrecer","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","emagrecimento","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","perder peso","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","dieta milagrosa","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","detox","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","antes e depois","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","shape","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricionista infantil","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricionista gestante","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricao vegana","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricionista bariatrica","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricao oncologica","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricao de plantas","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricao do solo","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","adubo","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","racao","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricionista pet","Phrase","Negative"
"Search - Nutricao Esportiva - Taubate + SJC","","nutricao animal","Phrase","Negative"
